epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.956,0.81447,1.99395,1.21864,0.70114,0.61547,0.65178,0.52562,0.76707,1.34807,1.10757,0.000555173,0.000555173,0.000555173
2,320.994,0.88193,1.50597,1.24249,0.64106,0.68805,0.65581,0.51063,0.83497,1.22038,1.1803,0.00100087,0.00100087,0.00100087
3,465.993,0.87813,1.34676,1.24862,0.66131,0.67955,0.69818,0.56487,0.78562,1.20265,1.1169,0.00133654,0.00133654,0.00133654
4,608.933,0.83884,1.21384,1.21073,0.69475,0.68556,0.68585,0.54981,0.78603,1.1776,1.1276,0.0011719,0.0011719,0.0011719
5,753.061,0.76374,1.09267,1.1631,0.65729,0.69244,0.71689,0.59706,0.69844,1.13194,1.08122,0.00100687,0.00100687,0.00100687
6,896.427,0.7071,0.98922,1.13165,0.82996,0.73563,0.82249,0.70985,0.62596,0.84446,1.02089,0.000841835,0.000841835,0.000841835
7,1038.96,0.66695,0.90315,1.11261,0.82972,0.75252,0.83233,0.72936,0.60519,0.80019,1.00835,0.000676802,0.000676802,0.000676802
8,1181.73,0.63382,0.82744,1.08517,0.84134,0.79083,0.86229,0.75528,0.5727,0.71551,0.99539,0.000511769,0.000511769,0.000511769
9,1323.76,0.58144,0.76111,1.05974,0.84909,0.76427,0.86642,0.76874,0.52809,0.69959,0.96352,0.000346736,0.000346736,0.000346736
10,1467.25,0.53807,0.70177,1.03584,0.84364,0.80589,0.87602,0.78429,0.50295,0.63082,0.94813,0.000181703,0.000181703,0.000181703
